,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
550,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:12.094132.cam1.A_collapsed_diff.fits,70.0,Open,IPOL,112.5,A,0.105,0.0471744,23803.0,928.6215,33955.0,1175.2762
7,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:40.637090.cam1.A_collapsed_diff.fits,70.0,625-50,IPOL,112.5,A,0.105,0.0471744,-753.0,67.95481,1778.0,82.623886
345,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:42.161099.cam1.A_collapsed_diff.fits,70.0,675-50,IPOL,112.5,A,0.105,0.0471744,-365.5,150.04137,7318.0,279.49545
523,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:42.424006.cam1.A_collapsed_diff.fits,70.0,725-50,IPOL,112.5,A,0.105,0.0471744,7824.0,330.2658,13722.0,495.72073
695,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:42.949835.cam1.A_collapsed_diff.fits,70.0,750-50,IPOL,112.5,A,0.105,0.0471744,10386.0,401.48413,15030.5,536.44385
349,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:35.314348.cam1.A_collapsed_diff.fits,70.0,775-50,IPOL,112.5,A,0.105,0.0471744,6343.0,260.90628,8620.0,330.00684
722,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:01.302200.cam1.A_collapsed_diff.fits,70.0,Open,IPOL_MBI,112.5,A,0.105,0.0962496,[19975.  20022.   6808.   1511.5],[716.15523807 506.47142003 296.4742138   99.54840824],[24193.  28118.  13175.   3598.5],[768.18289185 617.13094893 316.99745184 106.67286917]
477,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:12.094132.cam1.B_collapsed_diff.fits,70.0,Open,IPOL,112.5,B,0.105,0.0471744,-31122.0,1190.7228,35443.0,1215.0787
1073,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:40.637090.cam1.B_collapsed_diff.fits,70.0,625-50,IPOL,112.5,B,0.105,0.0471744,129.0,62.884987,1749.0,81.18682
240,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:42.161099.cam1.B_collapsed_diff.fits,70.0,675-50,IPOL,112.5,B,0.105,0.0471744,-1926.0,218.40355,7366.0,281.8587
513,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:42.424006.cam1.B_collapsed_diff.fits,70.0,725-50,IPOL,112.5,B,0.105,0.0471744,-11615.0,463.62665,14420.0,514.02155
719,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:42.949835.cam1.B_collapsed_diff.fits,70.0,750-50,IPOL,112.5,B,0.105,0.0471744,-14114.0,534.3614,15745.0,560.0717
976,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:35.314348.cam1.B_collapsed_diff.fits,70.0,775-50,IPOL,112.5,B,0.105,0.0471744,-8268.0,327.85666,8859.0,340.71747
348,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:01.302200.cam1.B_collapsed_diff.fits,70.0,Open,IPOL_MBI,112.5,B,0.105,0.0962496,[-22433.  -27260.5  -9717.5  -2039. ],[848.37449479 966.19026014 334.73031691 116.47011175],[22977.  29909.  13932.5  3821. ],[838.47249941 886.1200141  383.71337415 125.8683288 ]
651,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:15.657913.cam1.A_collapsed_diff.fits,107.5,Open,IPOL,112.5,A,0.105,0.0471744,-25688.0,777.7355,32152.0,1036.1206
1047,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:45.599597.cam1.A_collapsed_diff.fits,107.5,625-50,IPOL,112.5,A,0.105,0.0471744,-1284.0,73.30412,1779.0,357.24945
394,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:37.739706.cam1.A_collapsed_diff.fits,107.5,675-50,IPOL,112.5,A,0.105,0.0471744,-5737.0,206.11823,7732.0,265.03238
703,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:46.178483.cam1.A_collapsed_diff.fits,107.5,725-50,IPOL,112.5,A,0.105,0.0471744,-12171.0,378.5176,14664.0,484.36606
154,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:38.528426.cam1.A_collapsed_diff.fits,107.5,750-50,IPOL,112.5,A,0.105,0.0471744,-10682.0,349.59543,14389.0,480.94116
8,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:38.917015.cam1.A_collapsed_diff.fits,107.5,775-50,IPOL,112.5,A,0.105,0.0471744,-3873.0,163.28207,6303.0,244.56721
304,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:32.226656.cam1.A_collapsed_diff.fits,107.5,Open,IPOL_MBI,112.5,A,0.105,0.0962496,[-15141.5 -27570.5  -8357.5    304.5],[527.14276341 686.0747497  245.32769118  95.00983803],[16554. 30376. 13798.  3861.],[596.76850309 840.30834733 351.05604356  95.20729071]
294,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:15.657913.cam1.B_collapsed_diff.fits,107.5,Open,IPOL,112.5,B,0.105,0.0471744,18876.0,545.51025,31065.0,992.92725
337,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:45.599597.cam1.B_collapsed_diff.fits,107.5,625-50,IPOL,112.5,B,0.105,0.0471744,755.0,61.63569,1716.0,75.21758
361,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:37.739706.cam1.B_collapsed_diff.fits,107.5,675-50,IPOL,112.5,B,0.105,0.0471744,4471.0,186.09135,7399.0,251.00868
724,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:46.178483.cam1.B_collapsed_diff.fits,107.5,725-50,IPOL,112.5,B,0.105,0.0471744,9585.0,316.11597,13994.0,442.97766
1092,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:38.528426.cam1.B_collapsed_diff.fits,107.5,750-50,IPOL,112.5,B,0.105,0.0471744,9355.0,304.8379,13891.0,463.67102
639,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:38.917015.cam1.B_collapsed_diff.fits,107.5,775-50,IPOL,112.5,B,0.105,0.0471744,3360.0,151.1275,6191.0,241.86835
904,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:32.226656.cam1.B_collapsed_diff.fits,107.5,Open,IPOL_MBI,112.5,B,0.105,0.0962496,[13812.5 20255.   5024.5  -666. ],[473.44115622 439.22594167 189.93753993  89.367456  ],[17846. 28173. 12992.  3684.],[602.50818507 549.23935597 280.3383338   90.91638334]
649,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:15.907845.cam1.A_collapsed_diff.fits,70.0,Open,IPOL,123.75,A,0.105,0.0471744,22086.0,725.9083,34105.0,1170.9847
1079,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:45.024815.cam1.A_collapsed_diff.fits,70.0,625-50,IPOL,123.75,A,0.105,0.0471744,12.0,58.907566,1760.5,81.64401
287,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:38.252538.cam1.A_collapsed_diff.fits,70.0,675-50,IPOL,123.75,A,0.105,0.0471744,-1321.0,149.05515,7401.0,284.54688
250,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:46.237698.cam1.A_collapsed_diff.fits,70.0,725-50,IPOL,123.75,A,0.105,0.0471744,4087.0,208.86304,13961.0,501.8558
415,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:39.136132.cam1.A_collapsed_diff.fits,70.0,750-50,IPOL,123.75,A,0.105,0.0471744,5627.0,216.9757,14925.0,531.1576
829,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:39.126295.cam1.A_collapsed_diff.fits,70.0,775-50,IPOL,123.75,A,0.105,0.0471744,4048.0,173.3477,8079.0,281.3344
945,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:06.139109.cam1.A_collapsed_diff.fits,70.0,Open,IPOL_MBI,123.75,A,0.105,0.0962496,[17747.5 18193.   7405.   1600. ],[572.78635651 430.56732304 211.8977504  104.50466539],[23677.5 28599.  13198.   3528.5],[774.85964171 627.69826513 306.63034684 104.5922529 ]
202,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:15.907845.cam1.B_collapsed_diff.fits,70.0,Open,IPOL,123.75,B,0.105,0.0471744,-27987.0,854.23834,35133.0,1200.4047
466,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:45.024815.cam1.B_collapsed_diff.fits,70.0,625-50,IPOL,123.75,B,0.105,0.0471744,-565.0,115.38049,1777.0,82.463264
508,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:38.252538.cam1.B_collapsed_diff.fits,70.0,675-50,IPOL,123.75,B,0.105,0.0471744,-1152.0,157.26622,7388.0,280.67328
418,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:46.237698.cam1.B_collapsed_diff.fits,70.0,725-50,IPOL,123.75,B,0.105,0.0471744,-7636.0,276.62524,14160.0,508.47842
1039,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:39.136132.cam1.B_collapsed_diff.fits,70.0,750-50,IPOL,123.75,B,0.105,0.0471744,-10278.0,348.24402,15155.0,528.8675
86,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:39.126295.cam1.B_collapsed_diff.fits,70.0,775-50,IPOL,123.75,B,0.105,0.0471744,-6389.0,236.8654,8238.5,303.61636
888,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:06.139109.cam1.B_collapsed_diff.fits,70.0,Open,IPOL_MBI,123.75,B,0.105,0.0962496,[-19990.  -24040.   -8999.5  -1628. ],[646.93529208 588.53089905 238.85161771 125.34809506],[22686.  29975.  13909.   3790.5],[794.47630589 856.77135208 385.52568548 123.06918282]
452,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:11.272149.cam1.A_collapsed_diff.fits,107.5,Open,IPOL,123.75,A,0.105,0.0471744,-9152.0,398.42047,32579.0,1044.9369
929,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:41.215862.cam1.A_collapsed_diff.fits,107.5,625-50,IPOL,123.75,A,0.105,0.0471744,-362.0,90.049416,1757.0,76.23466
700,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:41.648274.cam1.A_collapsed_diff.fits,107.5,675-50,IPOL,123.75,A,0.105,0.0471744,-1501.0,135.54497,7464.0,260.38293
838,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:42.364778.cam1.A_collapsed_diff.fits,107.5,725-50,IPOL,123.75,A,0.105,0.0471744,-4320.0,228.09729,14282.0,474.80423
668,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:42.437016.cam1.A_collapsed_diff.fits,107.5,750-50,IPOL,123.75,A,0.105,0.0471744,-2717.0,238.90665,14603.0,491.72412
718,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:34.533246.cam1.A_collapsed_diff.fits,107.5,775-50,IPOL,123.75,A,0.105,0.0471744,-229.0,156.61472,7066.0,281.3864
